create,cat,sub-cat,urgency,impact,assign,cmt-resolve,resolve,cmt-close
"<a href =""./results/create.png""><img src=""results/create.png""/></a>","<a href =""results/cat.png""><img src=""results/cat.png""/></a>","<a href =""results/sub-cat.png""><img src=""results/sub-cat.png""/></a>","<a href =""results/urgency.png""><img src=""results/urgency.png""/></a>","<a href =""results/impact.png""><img src=""results/impact.png""/></a>","<a href =""results/assign.png""><img src=""results/assign.png""/></a>","<a href =""results/cmt-resolve.png""><img src=""results/cmt-resolve.png""/></a>","<a href =""results/resolve.png""><img src=""results/resolve.png""/></a>","<a href =""results/cmt-close.png""><img src=""results/cmt-close.png""/></a>"
1504,-1,-1,-1,-1,10485,-1,309,515
1008,65,523,57,1179,9904,226,289,-1
1752,68,863,-1,-1,10123,-1,271,562
1110,61,620,61,1665,13215,-1,214,515
1094,58,616,-1,-1,11567,199,426,411
"<p style=""background-color:yellow;"">1484</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">65</p>","<p style=""background-color:yellow;"">1194</p>","<p style=""background-color:yellow;"">7712</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">387</p>","<p style=""background-color:yellow;"">-1</p>"
"<p style=""background-color:yellow;"">1358</p>","<p style=""background-color:yellow;"">55</p>","<p style=""background-color:yellow;"">1110</p>","<p style=""background-color:yellow;"">56</p>","<p style=""background-color:yellow;"">1441</p>","<p style=""background-color:yellow;"">12038</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">240</p>","<p style=""background-color:yellow;"">3241</p>"
1382,67,703,63,1814,8927,269,199,-1
1602,42,948,59,1301,12205,184,242,412
1878,46,705,-1,-1,8400,-1,254,-1
1328,43,805,51,1235,8640,-1,126,-1
1739,60,1062,62,1888,11113,-1,238,415
1042,66,830,-1,-1,9307,259,197,492
1502,-1,-1,59,1772,15607,235,213,-1
1451,65,1125,52,1292,10054,-1,269,-1
1689,65,495,-1,-1,10564,213,224,534
1488,51,493,60,1310,6908,290,302,-1
1349,61,438,57,1156,9254,223,347,414
1312,52,738,55,1557,12347,201,271,-1
1227,53,871,60,1195,8025,254,245,-1
1516,72,619,-1,-1,8000,238,187,534
1768,53,949,-1,-1,9583,251,212,548
1704,60,772,-1,-1,11229,280,245,-1
1413,-1,-1,64,1419,13313,-1,251,577
1962,-1,-1,61,7018,9147,271,256,493
"<p style=""background-color:yellow;"">1562</p>","<p style=""background-color:yellow;"">70</p>","<p style=""background-color:yellow;"">480</p>","<p style=""background-color:yellow;"">510</p>","<p style=""background-color:yellow;"">1585</p>","<p style=""background-color:yellow;"">7402</p>","<p style=""background-color:yellow;"">232</p>","<p style=""background-color:yellow;"">136</p>","<p style=""background-color:yellow;"">-1</p>"
1112,74,549,-1,-1,12307,251,234,476
1493,54,799,-1,-1,5347,270,217,428
1464,39,507,63,1093,9377,213,168,497
1078,50,687,-1,-1,9482,-1,298,-1
1528,62,687,-1,-1,9325,237,263,464
1745,63,612,55,1339,9118,-1,205,445
1568,59,965,63,1274,7627,222,196,527
1575,55,414,63,1387,13225,266,180,406
1703,57,643,62,1518,11250,219,193,378
1171,60,731,66,1794,11160,-1,227,-1
1227,59,720,58,1854,13918,224,267,-1
1340,50,811,63,1506,8673,215,229,-1
1489,59,913,62,1438,6460,1301,262,455
1304,70,666,65,1643,12336,255,314,384
1462,46,664,62,1418,12408,277,327,404
1195,64,667,-1,-1,10485,291,180,470
"<p style=""background-color:yellow;"">1182</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">14914</p>","<p style=""background-color:yellow;"">227</p>","<p style=""background-color:yellow;"">237</p>","<p style=""background-color:yellow;"">528</p>"
1403,66,426,54,1327,129316,240,268,436
1406,-1,-1,62,1397,11624,237,190,539
1483,-1,-1,65,1573,8223,180,261,-1
1767,49,605,-1,-1,12686,226,228,526
1465,67,649,-1,-1,11694,-1,238,422
1472,48,822,61,1583,7983,250,169,-1
1402,75,906,64,1098,9479,213,264,500
1507,62,758,-1,-1,13197,252,350,400
1565,-1,-1,64,1462,10122,254,346,492
1540,-1,-1,65,1447,7809,236,261,470
1233,-1,-1,60,1488,8547,213,184,435
1848,63,455,-1,-1,9417,244,197,434
1696,71,883,55,1531,9135,242,292,461
1540,34,851,59,1502,10814,-1,124,499
1337,48,787,54,1544,15398,250,287,452
1764,-1,-1,70,1661,12760,223,250,434
"<p style=""background-color:yellow;"">1591</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">66</p>","<p style=""background-color:yellow;"">1377</p>","<p style=""background-color:yellow;"">80622</p>","<p style=""background-color:yellow;"">199</p>","<p style=""background-color:yellow;"">176</p>","<p style=""background-color:yellow;"">-1</p>"
1750,49,736,70,1245,11416,211,189,412
1209,64,447,61,1348,10055,-1,329,460
1574,44,752,52,1112,10511,-1,220,374
1342,53,366,61,1322,11629,219,210,-1
1031,59,739,64,965,8464,210,202,-1
1205,53,939,-1,-1,9257,238,260,487
1262,46,802,60,1408,8802,240,261,493
1587,-1,-1,60,1568,7411,-1,221,424
1459,50,508,63,1214,15763,211,177,496
1347,-1,-1,61,1552,7360,-1,273,491
1462,60,407,51,1646,7677,241,141,-1
1487,-1,-1,-1,-1,10753,234,319,-1
1271,-1,-1,60,1397,12335,-1,286,444
"<p style=""background-color:yellow;"">1537</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">6357</p>","<p style=""background-color:yellow;"">192</p>","<p style=""background-color:yellow;"">311</p>","<p style=""background-color:yellow;"">536</p>"
1539,89,680,48,1188,7812,240,249,524
"<p style=""background-color:yellow;"">1465</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">14912</p>","<p style=""background-color:yellow;"">238</p>","<p style=""background-color:yellow;"">256</p>","<p style=""background-color:yellow;"">-1</p>"
1266,-1,-1,62,1321,6234,724,289,501
1505,43,631,52,1425,14607,257,319,413
1270,-1,-1,-1,-1,9178,229,280,398
1278,61,817,57,1902,11731,-1,236,553
1745,70,713,63,1561,6762,279,138,-1
1478,58,813,-1,-1,5648,268,228,498
1558,62,734,63,1193,11040,243,306,3422
1094,-1,-1,-1,-1,13487,235,258,464
1681,-1,-1,50,1453,12496,253,343,547
"<p style=""background-color:yellow;"">1529</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">67</p>","<p style=""background-color:yellow;"">1782</p>","<p style=""background-color:yellow;"">15187</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">199</p>","<p style=""background-color:yellow;"">-1</p>"
952,56,512,66,1573,7571,217,254,396
1805,-1,-1,62,1887,11593,220,255,446
1664,72,717,63,1514,13217,266,165,486
1463,57,851,56,6433,15254,240,265,457
1504,41,832,60,1581,45798,245,257,-1
1651,75,1138,64,1541,10529,236,112,-1
1592,58,785,58,1242,8674,260,294,-1
1981,-1,-1,57,1613,12109,256,158,547
1378,36,1101,56,1231,6956,392,231,-1
1097,57,520,55,1329,11777,275,250,501
1156,71,928,64,1209,12705,225,287,449
1393,73,911,61,1249,5179,280,243,-1
1519,62,705,62,1012,7786,-1,177,553
1846,59,562,66,1318,12711,255,254,-1
1720,-1,-1,64,1618,13116,180,207,541
1615,59,698,-1,-1,11463,269,295,504
1359,48,684,57,1662,12936,309,230,437
1404,66,874,62,1616,13985,-1,247,513
"<p style=""background-color:yellow;"">1298</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">4803</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">193</p>","<p style=""background-color:yellow;"">477</p>"
"<p style=""background-color:yellow;"">1581</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">13542</p>","<p style=""background-color:yellow;"">232</p>","<p style=""background-color:yellow;"">310</p>","<p style=""background-color:yellow;"">-1</p>"
1527,67,957,58,1734,10379,230,241,449
"<p style=""background-color:yellow;"">5844</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">-1</p>","<p style=""background-color:yellow;"">55</p>","<p style=""background-color:yellow;"">1660</p>","<p style=""background-color:yellow;"">13705</p>","<p style=""background-color:yellow;"">179</p>","<p style=""background-color:yellow;"">147</p>","<p style=""background-color:yellow;"">-1</p>"
1533,78,526,-1,-1,9450,248,289,479
1476,47,761,64,1656,10677,-1,240,420
1527,64,724,69,1607,6923,198,321,-1
1295,85,924,55,1771,9228,-1,261,486
1860,-1,-1,52,1629,10150,224,121,-1
1495,64,795,64,1494,8568,-1,354,449
1131,44,740,-1,-1,16232,225,227,451
1670,56,908,57,1681,10515,240,251,437
1438,-1,-1,61,1102,8778,-1,223,549
1831,602,955,60,1606,11049,222,235,-1
904,50,802,54,1369,10902,-1,301,529
1207,67,876,-1,-1,7234,-1,231,526
1065,42,1053,57,1226,11044,-1,219,-1
1297,57,579,68,1313,8295,224,258,511
1310,74,663,54,1407,11625,-1,244,437
1403,70,766,-1,-1,10833,282,327,-1
1702,81,608,-1,-1,15104,-1,137,433
1725,67,745,553,1443,11687,276,171,470
1469,39,897,-1,-1,9229,265,291,527
1458,75,881,54,1663,9823,241,243,-1
1376,53,835,60,1282,12145,251,265,513
1444,85,705,58,1344,13400,256,82,496
1455,56,796,-1,-1,10500,-1,253,441
1678,61,567,56,1173,6975,243,305,-1
1745,-1,-1,64,1807,9821,261,171,-1
1279,73,927,60,1241,12034,-1,203,-1
